,age,job,marital,education,default,housing,loan,contact,month,day_week,campaign,previous,poutcome,subscribed
113,55,2,2,3,2,3,1,2,7,2,2,0,2,no
114,37,5,2,7,1,1,1,2,7,2,2,0,2,no
115,36,2,2,4,1,1,1,2,7,2,1,0,2,no
116,52,1,1,7,1,1,1,2,7,2,2,0,2,no
117,57,2,1,8,2,3,1,2,7,2,1,0,2,no
118,56,1,2,8,1,3,1,2,7,2,1,0,2,no
119,48,2,1,1,2,3,1,2,7,2,1,0,2,no
120,40,2,2,4,2,3,1,2,7,2,1,0,2,no
121,49,2,1,4,1,1,1,2,7,2,1,0,2,no
122,41,8,2,4,1,1,1,2,7,2,1,0,2,no
123,45,10,2,4,1,3,1,2,7,2,1,0,2,no
124,32,1,2,7,1,3,3,2,7,2,1,0,2,no
125,42,1,2,7,1,1,3,2,7,2,2,0,2,no
126,50,1,2,2,1,1,1,2,7,2,1,0,2,no
127,31,10,1,6,1,3,3,2,7,2,1,0,2,no
128,56,6,2,1,1,3,1,2,7,2,2,0,2,no
129,41,10,2,6,2,3,1,2,7,2,1,0,2,yes
130,37,2,2,2,1,3,3,2,7,2,1,0,2,no
131,41,10,2,6,2,1,1,2,7,2,1,0,2,no
132,35,2,2,8,1,3,1,2,7,2,1,0,2,no
133,37,2,2,2,1,3,1,2,7,2,1,0,2,no
134,52,5,2,7,1,1,1,2,7,2,1,0,2,no
135,39,5,1,7,1,1,1,2,7,2,1,0,2,no
136,39,4,2,1,2,1,1,2,7,2,2,0,2,no
137,56,2,2,1,2,1,1,2,7,2,2,0,2,no
138,34,8,2,4,1,3,1,2,7,2,2,0,2,no
139,45,2,2,3,2,3,1,2,7,2,1,0,2,yes
140,43,11,3,7,1,3,1,2,7,2,1,0,2,no
141,56,5,2,8,1,3,1,2,7,2,1,0,2,no
142,39,5,2,7,1,3,1,2,7,2,1,0,2,no
143,53,2,2,1,1,3,1,2,7,2,1,0,2,no
144,38,12,1,4,2,3,1,2,7,2,1,0,2,no
145,42,2,2,1,2,3,1,2,7,2,1,0,2,no
146,42,2,2,1,2,1,1,2,7,2,1,0,2,no
147,35,1,3,4,1,3,1,2,7,2,1,0,2,no
148,40,1,2,7,2,3,1,2,7,2,1,0,2,no
149,51,2,2,1,1,3,1,2,7,2,1,0,2,no
150,60,2,2,3,2,1,1,2,7,2,1,0,2,no
151,56,3,2,8,2,3,1,2,7,2,1,0,2,no
152,39,8,1,4,2,3,1,2,7,2,1,0,2,no
153,56,3,2,8,2,1,1,2,7,2,1,0,2,no
154,40,2,2,8,1,3,3,2,7,2,1,0,2,no
155,36,2,2,3,1,3,3,2,7,2,1,0,2,no
156,51,2,2,8,2,3,1,2,7,2,1,0,2,no
157,51,2,2,8,2,1,1,2,7,2,1,0,2,no
158,43,10,3,6,1,3,1,2,7,2,2,0,2,no
159,59,8,2,4,1,1,1,2,7,2,2,0,2,no
160,24,5,3,7,1,3,1,2,7,2,2,0,2,no
161,37,2,3,3,2,3,3,2,7,2,2,0,2,no
162,40,2,2,3,2,1,1,2,7,2,1,0,2,no
163,42,2,2,3,2,1,1,2,7,2,3,0,2,no
164,39,8,1,4,2,1,1,2,7,2,1,0,2,no
165,37,3,2,2,1,1,1,2,7,2,1,0,2,no
166,38,8,2,4,1,3,3,2,7,2,1,0,2,no
167,56,1,1,8,2,1,1,2,7,2,2,0,2,no
168,40,2,4,8,1,1,1,2,7,2,2,0,2,no
169,54,5,1,7,1,3,1,2,7,2,2,0,2,no
170,43,2,2,4,2,1,3,2,7,2,1,0,2,no
171,36,8,2,4,2,1,1,2,7,2,1,0,2,no
172,45,10,2,7,1,3,3,2,7,2,1,0,2,no
173,42,1,3,7,2,1,1,2,7,2,1,0,2,no
174,43,8,2,4,1,1,1,2,7,2,3,0,2,no
175,46,5,2,3,1,1,1,2,7,2,2,0,2,no
176,44,8,2,4,1,3,3,2,7,2,1,0,2,no
177,51,1,3,2,1,1,1,2,7,2,2,0,2,no
178,28,8,2,4,1,3,1,2,7,2,1,0,2,no
179,37,2,2,3,1,1,1,2,7,2,1,0,2,no
180,34,10,2,4,1,1,1,2,7,2,1,0,2,no
181,46,2,2,2,2,3,1,2,7,2,1,0,2,no
182,42,2,2,3,1,3,3,2,7,2,2,0,2,yes
183,36,1,2,7,1,3,1,2,7,2,3,0,2,no
184,54,2,2,1,2,1,1,2,7,2,1,0,2,no
185,57,5,2,7,1,1,1,2,7,2,1,0,2,no
186,51,10,2,2,2,1,1,2,7,2,1,0,2,no
187,54,6,2,4,2,1,1,2,7,2,1,0,2,no
188,49,2,2,1,2,1,1,2,7,2,1,0,2,no
189,34,1,2,7,1,3,1,2,7,2,1,0,2,no
190,41,10,2,6,1,1,1,2,7,2,1,0,2,no
191,38,2,3,3,1,3,1,2,7,2,2,0,2,no
192,45,5,1,7,1,1,1,2,7,2,2,0,2,no
193,42,10,2,7,1,1,1,2,7,2,2,0,2,no
194,34,2,3,3,2,3,1,2,7,2,1,0,2,no
195,48,2,2,1,1,3,1,2,7,2,1,0,2,no
196,37,1,2,4,2,3,1,2,7,2,1,0,2,no
197,34,2,3,3,2,1,1,2,7,2,1,0,2,no
198,40,1,2,3,2,3,1,2,7,2,2,0,2,no
199,43,2,2,2,1,3,1,2,7,2,1,0,2,no
200,33,8,2,4,1,1,1,2,7,2,2,0,2,no
201,32,8,3,2,1,1,1,2,7,2,1,0,2,no
202,39,2,2,4,1,3,1,2,7,2,2,0,2,no
203,43,1,2,8,1,1,1,2,7,2,1,0,2,no
204,44,2,2,3,1,3,1,2,7,2,1,0,2,no
205,35,9,3,7,2,1,1,2,7,2,1,0,2,no
206,35,9,3,7,2,3,3,2,7,2,1,0,2,no
207,35,11,2,6,1,1,1,2,7,2,1,0,2,no
208,36,8,3,1,1,1,1,2,7,2,1,0,2,no
209,35,9,3,7,2,3,1,2,7,2,1,0,2,no
210,36,9,3,3,1,3,1,2,7,2,1,0,2,no
211,55,4,1,7,1,1,1,2,7,2,1,0,2,no
212,59,1,2,7,1,1,1,2,7,2,1,0,2,no
213,57,6,2,8,2,1,1,2,7,2,2,0,2,no
214,39,2,2,6,2,3,1,2,7,2,1,0,2,no
215,39,4,2,1,2,3,1,2,7,2,2,0,2,no
216,30,2,3,8,1,3,1,2,7,2,1,0,2,no
217,30,2,3,8,1,3,3,2,7,2,1,0,2,no
218,50,4,2,1,2,1,1,2,7,2,1,0,2,no
219,40,8,2,4,1,1,1,2,7,2,3,0,2,no
220,35,1,2,4,1,3,1,2,7,2,2,0,2,no
221,43,10,2,8,2,1,1,2,7,2,2,0,2,no
222,36,8,3,2,2,3,1,2,7,2,1,0,2,no
223,46,10,2,1,2,3,1,2,7,2,1,0,2,no
224,40,10,4,3,1,1,1,2,7,2,1,0,2,no
225,58,6,2,7,1,1,1,2,7,2,1,0,2,no
226,42,10,2,7,1,1,1,2,7,2,2,0,2,no
227,35,1,3,7,1,1,1,2,7,2,2,0,2,no
228,43,6,2,1,2,1,1,2,7,2,3,0,2,no
229,45,2,2,1,1,3,3,2,7,2,1,0,2,no
230,39,1,2,6,1,3,1,2,7,2,2,0,2,no
231,50,8,1,6,1,3,1,2,7,2,1,0,2,no
232,32,5,1,1,2,3,1,2,7,2,2,0,2,no
233,39,1,2,4,2,1,1,2,7,2,1,0,2,no
234,52,7,2,7,2,1,1,2,7,2,1,0,2,no
235,44,1,2,6,1,3,1,2,7,2,1,0,2,no
236,56,2,2,1,1,1,1,2,7,2,1,0,2,no
237,48,1,2,4,1,1,1,2,7,2,2,0,2,no
238,33,8,2,4,2,1,3,2,7,2,2,0,2,no
239,43,5,2,7,2,1,3,2,7,2,3,0,2,no
240,57,6,2,4,1,1,1,2,7,2,2,0,2,no
241,36,10,3,6,1,1,1,2,7,2,1,0,2,no
242,34,5,2,7,1,3,1,2,7,2,1,0,2,no
243,34,8,3,3,1,1,1,2,7,2,2,0,2,no
244,30,10,2,7,2,1,1,2,7,2,1,0,2,no
245,33,8,1,8,1,1,1,2,7,2,2,0,2,no
246,32,10,3,6,1,1,1,2,7,2,1,0,2,no
247,36,10,3,4,1,3,1,2,7,2,2,0,2,no
248,36,2,3,4,1,1,3,2,7,2,1,0,2,no
249,33,8,3,4,1,1,1,2,7,2,1,0,2,no
250,40,10,1,6,1,1,1,2,7,2,1,0,2,no
251,41,2,2,1,1,3,1,2,7,2,1,0,2,no
252,51,8,2,2,1,3,1,2,7,2,1,0,2,no
253,36,10,2,6,1,3,1,2,7,2,3,0,2,no
254,28,8,2,8,1,1,1,2,7,2,2,0,2,no
255,53,8,2,4,1,3,3,2,7,2,3,0,2,no
256,58,2,2,3,2,3,1,2,7,2,2,0,2,no
257,45,5,2,3,1,1,3,2,7,2,1,0,2,no
258,43,10,2,8,1,3,1,2,7,2,1,0,2,no
259,33,1,2,4,1,1,3,2,7,2,1,0,2,no
260,33,1,2,4,1,1,3,2,7,2,1,0,2,no
261,27,2,3,2,1,2,2,2,7,2,1,0,2,no
262,42,10,2,4,1,1,1,2,7,2,1,0,2,no
263,43,1,1,3,1,1,1,2,7,2,3,0,2,no
264,42,1,2,7,1,1,1,2,7,2,2,0,2,no
265,27,2,3,2,1,1,1,2,7,2,1,0,2,no
266,34,7,3,7,1,3,1,2,7,2,2,0,2,no
267,31,9,3,7,2,1,1,2,7,2,2,0,2,no
268,54,5,1,7,1,1,1,2,7,2,2,0,2,no
269,40,7,2,1,2,1,1,2,7,2,3,0,2,no
270,52,11,2,4,2,3,1,2,7,2,1,0,2,no
271,47,5,1,7,1,1,1,2,7,2,2,0,2,no
272,49,4,2,3,2,1,1,2,7,2,1,0,2,no
273,32,1,3,4,1,1,1,2,7,2,2,0,2,no
274,49,4,3,4,2,3,3,2,7,2,2,0,2,no
275,50,2,2,3,2,1,1,2,7,2,1,0,2,no
276,34,8,2,4,1,1,1,2,7,2,1,0,2,no
277,55,2,2,1,2,1,1,2,7,2,2,0,2,no
278,47,10,3,3,1,1,1,2,7,2,4,0,2,no
279,51,6,2,6,1,1,1,2,7,2,3,0,2,no
280,47,2,2,2,1,1,1,2,7,2,2,0,2,no
281,56,10,2,1,1,3,1,2,7,2,3,0,2,no
282,53,1,2,3,1,1,1,2,7,2,3,0,2,no
283,36,2,2,3,1,3,1,2,7,2,2,0,2,no
284,42,2,1,3,1,3,1,2,7,2,2,0,2,no
285,44,2,1,2,1,1,1,2,7,2,2,0,2,no
286,39,4,2,3,1,3,1,2,7,2,3,0,2,yes
287,37,1,3,4,1,3,3,2,7,2,2,0,2,no
288,60,2,2,8,2,3,1,2,7,2,2,0,2,no
289,36,8,2,4,1,1,1,2,7,2,2,0,2,no
290,42,5,1,7,1,3,1,2,7,2,2,0,2,no
291,31,1,2,4,1,3,3,2,7,2,2,0,2,no
292,53,10,1,6,2,1,3,2,7,2,2,0,2,no
293,45,2,2,1,1,3,1,2,7,2,2,0,2,no
294,37,10,3,6,1,3,1,2,7,2,2,0,2,no
295,47,7,2,6,1,1,1,2,7,2,2,0,2,no
296,49,2,1,4,1,1,3,2,7,2,2,0,2,no
297,36,1,2,7,1,3,1,2,7,2,2,0,2,no
298,35,8,1,4,1,1,1,2,7,2,3,0,2,no
299,38,12,4,8,2,1,1,2,7,2,4,0,2,no
300,38,8,3,4,2,1,1,2,7,2,2,0,2,no
301,50,2,1,4,2,1,3,2,7,2,2,0,2,no
302,59,6,2,6,2,1,1,2,7,2,2,0,2,no
303,43,12,2,8,1,3,1,2,7,2,2,0,2,no
304,42,1,2,4,1,3,1,2,7,2,2,0,2,no
305,40,1,2,2,2,3,1,2,7,2,2,0,2,no
306,46,2,2,8,2,1,1,2,7,2,2,0,2,no
307,57,4,1,1,1,3,3,2,7,2,2,0,2,no
308,42,1,2,7,1,3,1,2,7,2,3,0,2,no
309,41,2,2,1,1,3,1,2,7,2,2,0,2,no
310,54,5,1,7,1,3,1,2,7,2,3,0,2,no
311,27,1,3,7,1,1,1,2,7,2,2,0,2,no
312,36,1,2,4,1,1,1,2,7,2,2,0,2,no
313,58,2,2,6,2,3,1,2,7,2,2,0,2,no
314,40,5,2,7,2,3,1,2,7,2,2,0,2,no
315,34,1,3,3,2,1,1,2,7,2,2,0,2,no
316,33,1,1,4,1,1,1,2,7,2,2,0,2,no
317,56,6,2,2,1,1,1,2,7,2,2,0,2,no
318,42,2,2,3,1,1,1,2,7,2,2,0,2,no
319,43,8,2,4,1,3,1,2,7,2,2,0,2,no
320,54,5,3,3,1,3,1,2,7,2,3,0,2,no
321,53,1,3,2,1,3,3,2,7,2,2,0,2,no
322,42,10,3,8,1,1,1,2,7,2,2,0,2,no
323,40,8,2,2,2,1,1,2,7,2,3,0,2,no
324,54,10,2,6,1,3,3,2,7,2,2,0,2,no
325,40,4,3,6,1,1,1,2,7,2,4,0,2,no
326,26,1,3,7,1,3,1,2,7,2,3,0,2,no
327,33,1,2,4,1,1,1,2,7,2,3,0,2,no
328,35,2,2,3,2,1,1,2,7,2,2,0,2,no
329,36,1,2,4,1,1,1,2,7,2,3,0,2,no
330,29,8,3,4,1,3,1,2,7,2,2,0,2,no
331,36,2,2,3,1,3,1,2,7,2,2,0,2,no
332,35,5,2,4,1,3,1,2,7,2,5,0,2,no
333,50,7,3,7,1,1,3,2,7,2,5,0,2,no
334,46,8,2,4,2,3,1,2,7,2,3,0,2,no
335,49,3,2,4,1,3,1,2,7,2,4,0,2,no
336,42,10,3,6,2,3,1,2,7,2,2,0,2,no
337,36,2,3,4,1,3,3,2,7,2,3,0,2,no
338,55,2,2,3,2,3,1,2,7,2,2,0,2,no
339,41,5,2,7,2,1,1,2,7,2,2,0,2,no
340,57,5,2,6,2,3,1,2,7,2,3,0,2,no
341,32,8,3,4,1,3,1,2,7,2,3,0,2,no
342,49,1,2,3,1,1,1,2,7,2,3,0,2,no
343,57,12,2,8,2,3,1,2,7,2,2,0,2,no
344,58,2,1,1,1,3,1,2,7,2,2,0,2,no
345,52,10,2,4,1,3,1,2,7,2,2,0,2,no
346,50,8,1,6,1,1,1,2,7,2,2,0,2,no
347,41,2,3,3,2,3,1,2,7,2,4,0,2,no
348,33,3,2,7,1,3,1,2,7,2,3,0,2,no
349,57,2,2,1,1,1,1,2,7,2,2,0,2,no
350,48,2,2,2,2,1,1,2,7,2,3,0,2,no
351,55,10,2,6,1,1,1,2,7,2,2,0,2,no
352,38,5,2,7,1,1,1,2,7,2,2,0,2,no
353,38,8,2,4,1,3,1,2,7,2,3,0,2,no
354,53,1,2,7,1,3,1,2,7,2,2,0,2,no
355,43,11,3,7,1,1,1,2,7,2,4,0,2,no
356,36,2,3,4,1,1,1,2,7,2,2,0,2,no
357,32,2,4,3,1,1,1,2,7,2,2,0,2,no
358,33,8,2,1,1,1,1,2,7,2,3,0,2,no
359,58,3,2,1,1,3,1,2,7,2,2,0,2,no
360,40,11,1,4,2,1,1,2,7,4,3,0,2,no
361,57,5,2,7,1,3,1,2,7,4,2,0,2,no
362,45,10,2,4,1,3,1,2,7,4,3,0,2,no
363,42,2,2,1,2,3,1,2,7,4,3,0,2,no
364,46,1,2,7,1,3,1,2,7,4,1,0,2,no
365,36,10,2,7,1,1,1,2,7,4,1,0,2,no
366,41,7,2,4,1,3,1,2,7,4,1,0,2,no
367,57,1,1,3,1,1,1,2,7,4,1,0,2,no
368,49,2,2,3,2,3,1,2,7,4,1,0,2,no
369,56,5,1,4,1,1,1,2,7,4,1,0,2,no
370,37,2,2,3,1,1,1,2,7,4,1,0,2,no
371,37,2,2,3,1,1,3,2,7,4,1,0,2,no
372,46,1,3,4,1,3,1,2,7,4,1,0,2,no
373,22,2,3,3,1,3,1,2,7,4,1,0,2,no
374,43,8,2,4,1,1,1,2,7,4,1,0,2,no
375,49,2,2,8,1,1,1,2,7,4,1,0,2,no
376,41,10,2,2,1,3,1,2,7,4,1,0,2,no
377,38,1,3,7,1,1,1,2,7,4,1,0,2,no
378,33,1,2,3,1,1,1,2,7,4,1,0,2,no
379,49,1,2,7,1,3,3,2,7,4,1,0,2,no
380,30,2,3,8,1,1,1,2,7,4,2,0,2,no
381,33,1,2,3,1,3,1,2,7,4,1,0,2,no
382,34,5,3,7,1,1,1,2,7,4,1,0,2,no
383,30,9,3,8,2,1,1,2,7,4,1,0,2,no
384,59,5,2,1,2,3,3,2,7,4,1,0,2,no
385,59,5,2,1,2,2,2,2,7,4,1,0,2,no
386,41,7,2,7,1,1,1,2,7,4,1,0,2,no
387,48,4,2,2,2,3,3,2,7,4,4,0,2,no
388,28,12,3,8,2,3,3,2,7,4,1,0,2,yes
389,44,8,2,4,1,3,1,2,7,4,1,0,2,yes
390,59,6,4,7,2,1,1,2,7,4,1,0,2,no
391,50,5,2,4,2,1,1,2,7,4,1,0,2,no
392,35,1,2,7,1,1,1,2,7,4,1,0,2,no
393,42,1,2,4,1,1,1,2,7,4,1,0,2,no
394,45,1,2,3,1,1,1,2,7,4,1,0,2,no
395,36,10,2,6,1,1,1,2,7,4,2,0,2,no
396,56,8,2,4,2,1,1,2,7,4,3,0,2,no
397,29,2,1,1,1,1,1,2,7,4,1,0,2,no
398,41,7,2,7,1,3,3,2,7,4,2,0,2,no
399,42,2,2,3,2,1,1,2,7,4,1,0,2,no
400,52,8,3,4,1,1,1,2,7,4,1,0,2,no
401,48,8,2,4,2,2,2,2,7,4,1,0,2,no
402,31,2,4,4,2,3,1,2,7,4,1,0,2,no
403,43,11,2,7,2,3,1,2,7,4,1,0,2,no
404,36,2,2,1,2,1,1,2,7,4,1,0,2,no
405,42,3,2,7,1,3,1,2,7,4,1,0,2,no
406,52,8,1,2,1,1,1,2,7,4,1,0,2,no
407,39,1,2,4,1,3,1,2,7,4,2,0,2,no
408,36,8,2,4,1,1,3,2,7,4,2,0,2,no
409,42,2,2,3,2,3,1,2,7,4,1,0,2,no
410,41,1,2,4,1,1,1,2,7,4,1,0,2,no
411,55,10,2,1,1,1,3,2,7,4,1,0,2,no
412,30,2,2,3,1,1,1,2,7,4,1,0,2,no
413,57,6,4,1,1,1,1,2,7,4,1,0,2,no
414,45,3,2,1,2,3,1,2,7,4,1,0,2,no
415,51,2,2,1,2,3,3,2,7,4,2,0,2,no
416,39,7,3,3,2,3,3,2,7,4,1,0,2,no
417,47,1,2,4,2,1,1,2,7,4,1,0,2,no
418,27,8,2,4,1,3,1,2,7,4,1,0,2,no
419,34,10,3,7,1,3,1,2,7,4,1,0,2,no
420,57,2,2,1,2,3,1,2,7,4,1,0,2,no
421,43,3,2,1,1,1,1,2,7,4,1,0,2,no
422,49,2,2,1,2,1,1,2,7,4,1,0,2,no
423,39,5,2,7,2,1,1,2,7,4,3,0,2,no
424,38,2,2,1,2,3,1,2,7,4,1,0,2,no
425,49,2,2,3,1,1,1,2,7,4,2,0,2,no
426,58,5,2,2,1,1,1,2,7,4,1,0,2,no
427,43,10,2,6,1,3,1,2,7,4,1,0,2,no
428,50,12,2,8,2,3,1,2,7,4,3,0,2,no
429,31,8,2,4,2,1,1,2,7,4,1,0,2,no
430,43,7,1,7,1,1,1,2,7,4,1,0,2,no
431,43,7,2,3,2,1,1,2,7,4,1,0,2,no
432,30,7,3,7,1,3,1,2,7,4,1,0,2,no
433,27,8,3,6,1,3,3,2,7,4,1,0,2,no
434,51,8,2,8,2,1,1,2,7,4,1,0,2,no
435,37,10,2,6,1,3,1,2,7,4,2,0,2,no
436,46,4,2,3,1,3,1,2,7,4,1,0,2,no
437,35,2,2,6,1,1,1,2,7,4,1,0,2,no
438,47,1,1,7,1,1,1,2,7,4,1,0,2,no
439,46,5,2,8,1,3,1,2,7,4,1,0,2,no
440,40,10,2,6,2,1,3,2,7,4,1,0,2,no
441,26,4,2,7,1,1,1,2,7,4,1,0,2,no
442,32,2,1,3,2,1,1,2,7,4,2,0,2,no
443,45,5,2,7,1,3,1,2,7,4,1,0,2,no
444,34,1,2,3,1,1,1,2,7,4,1,0,2,no
445,47,2,2,8,2,1,1,2,7,4,1,0,2,no
446,42,10,2,6,1,1,1,2,7,4,1,0,2,yes
447,57,10,2,1,2,1,3,2,7,4,1,0,2,no
448,57,10,2,1,2,1,1,2,7,4,1,0,2,no
449,38,2,2,1,1,1,3,2,7,4,1,0,2,no
450,57,10,2,1,2,1,1,2,7,4,1,0,2,no
451,28,9,3,3,2,3,1,2,7,4,1,0,2,no
452,60,5,2,7,1,1,1,2,7,4,2,0,2,no
453,48,1,2,7,1,3,1,2,7,4,1,0,2,no
454,47,10,2,6,1,3,1,2,7,4,1,0,2,no
455,40,1,2,4,1,1,1,2,7,4,1,0,2,no
456,51,5,2,6,2,3,1,2,7,4,2,0,2,no
457,48,11,3,1,1,3,1,2,7,4,1,0,2,no
458,54,4,2,1,1,1,1,2,7,4,2,0,2,no
459,40,2,2,2,1,1,3,2,7,4,1,0,2,no
460,44,1,3,3,2,1,1,2,7,4,1,0,2,no
461,42,10,1,4,1,1,1,2,7,4,4,0,2,no
462,52,7,2,7,1,3,1,2,7,4,1,0,2,no
